Theta;0.92369;1;1;1;Alpha;0.46202;0.54565;0.57258;0.53989;Beta;0.58898;0.67561;0.70076;0.67044;Gamma;0.51257;0.36686;0.32894
Theta;0.77085;0.84776;0.85155;0.84874;Alpha;0.61279;0.69844;0.72226;0.69326;Beta;0.52632;0.61261;0.63941;0.60889;Gamma;0.53004;0.42828;0.37482
Theta;0.87456;0.95283;0.95444;0.95142;Alpha;0.67126;0.75596;0.78195;0.74915;Beta;0.52455;0.60838;0.63484;0.60463;Gamma;0.51044;0.41967;0.35001
Theta;0.79554;0.87336;0.87688;0.87393;Alpha;0.65525;0.73947;0.76869;0.73416;Beta;0.55927;0.64543;0.66955;0.64008;Gamma;0.49714;0.43208;0.39822
Theta;0.85696;0.93448;0.93615;0.9334;Alpha;0.6757;0.76138;0.79059;0.75628;Beta;0.53814;0.62369;0.65042;0.61967;Gamma;0.51181;0.41589;0.35172
Theta;0.8201;0.89672;0.89779;0.89564;Alpha;0.69331;0.77711;0.80529;0.77202;Beta;0.54405;0.62879;0.65637;0.62688;Gamma;0.51862;0.42343;0.41037
Theta;0.84427;0.92195;0.92379;0.92108;Alpha;0.68797;0.77155;0.80115;0.76668;Beta;0.55444;0.64133;0.66644;0.63627;Gamma;0.51348;0.46933;0.45826
Theta;0.84289;0.91966;0.92161;0.91937;Alpha;0.66997;0.75411;0.78302;0.74914;Beta;0.54501;0.6297;0.65475;0.62566;Gamma;0.50256;0.15564;0.42906
Theta;0.82975;0.90768;0.91029;0.90662;Alpha;0.65955;0.74507;0.77204;0.73945;Beta;0.53517;0.61964;0.64811;0.61627;Gamma;0.47398;0.40094;0.3736
Theta;0.8298;0.90784;0.91126;0.90648;Alpha;0.66158;0.74558;0.77165;0.7385;Beta;0.53642;0.62049;0.64843;0.61665;Gamma;0.47274;0.40023;0.37114
Theta;0.82907;0.90762;0.91134;0.90689;Alpha;0.66266;0.74553;0.77077;0.73909;Beta;0.53633;0.62075;0.64882;0.61609;Gamma;0.47262;0.40051;0.37488
Theta;0.82935;0.90731;0.91093;0.90675;Alpha;0.66308;0.74548;0.77073;0.73838;Beta;0.53665;0.62056;0.64851;0.61564;Gamma;0.47263;0.4005;0.37269
Theta;0.82909;0.9075;0.91103;0.90668;Alpha;0.66361;0.74529;0.77076;0.73846;Beta;0.53661;0.621;0.6482;0.61539;Gamma;0.47263;0.40019;0.37276
Theta;0.82912;0.90754;0.91076;0.90676;Alpha;0.66301;0.74513;0.77067;0.7383;Beta;0.53604;0.62092;0.64846;0.61509;Gamma;0.47223;0.40079;0.37277
Theta;0.82932;0.90742;0.91054;0.90647;Alpha;0.66316;0.74534;0.77086;0.7385;Beta;0.53615;0.62102;0.64752;0.61486;Gamma;0.47214;0.40075;0.37598
Theta;0.829;0.90759;0.91099;0.90652;Alpha;0.66322;0.74565;0.77056;0.73857;Beta;0.53614;0.6213;0.64707;0.61516;Gamma;0.47218;0.40233;0.38217
Theta;0.82878;0.90702;0.91072;0.90652;Alpha;0.66501;0.74675;0.77126;0.73852;Beta;0.53409;0.62078;0.64637;0.61535;Gamma;0.47218;0.40413;0.38166
Theta;0.82866;0.90735;0.91082;0.90661;Alpha;0.66378;0.74647;0.77219;0.73799;Beta;0.53413;0.62019;0.64702;0.61464;Gamma;0.47193;0.40246;0.38068
Theta;0.82932;0.90737;0.90908;0.9064;Alpha;0.66224;0.74481;0.77153;0.73901;Beta;0.53557;0.61916;0.64765;0.61309;Gamma;0.4725;0.40423;0.38209
Theta;0.82981;0.90724;0.90979;0.90668;Alpha;0.66206;0.74596;0.77001;0.73931;Beta;0.53508;0.61879;0.64738;0.6137;Gamma;0.47203;0.40258;0.38145
Theta;0.82996;0.90747;0.90979;0.90681;Alpha;0.66169;0.74629;0.77032;0.73954;Beta;0.53505;0.61863;0.64745;0.61379;Gamma;0.47198;0.4023;0.38247
Theta;0.8301;0.90759;0.90963;0.90669;Alpha;0.66156;0.74676;0.77061;0.73984;Beta;0.53508;0.61828;0.64764;0.61382;Gamma;0.47193;0.40263;0.38261
Theta;0.83413;0.9115;0.91017;0.90603;Alpha;0.66243;0.74571;0.77024;0.74009;Beta;0.54263;0.62496;0.64799;0.61355;Gamma;0.47189;0.40418;0.38155
Theta;0.8256;0.90489;0.9083;0.91352;Alpha;0.67547;0.76305;0.77141;0.74532;Beta;0.55187;0.63578;0.64949;0.61625;Gamma;0.48201;0.4046;0.3856
Theta;1;1;0.95763;0.97104;Alpha;0.88668;0.88134;0.82008;0.78023;Beta;0.68316;0.68025;0.66183;0.65559;Gamma;0.56765;0.49047;0.4617
Theta;1;1;1;1;Alpha;0.81923;0.77763;0.88603;0.86595;Beta;0.59963;0.72329;0.66701;0.80005;Gamma;0.62089;0.62438;0.52029
Theta;1;0.98569;1;1;Alpha;0.81165;0.83231;0.83308;0.86711;Beta;0.60432;0.7641;0.62727;0.79673;Gamma;0.61489;0.65144;0.44969
Theta;1;1;0.99846;1;Alpha;0.86006;0.96049;0.85137;0.98811;Beta;0.63219;0.85899;0.6257;0.94858;Gamma;0.69629;0.69476;0.53393
Theta;1;1;1;1;Alpha;0.86095;1;0.83147;1;Beta;0.67781;0.86291;0.61958;0.97085;Gamma;0.74197;0.71012;0.68975
Theta;0.98776;1;0.98783;0.99459;Alpha;0.87182;0.9834;0.85912;1;Beta;0.73925;0.8791;0.64804;0.96794;Gamma;0.75319;0.72488;0.69664
Theta;0.99401;0.99763;0.97882;0.99615;Alpha;0.89685;0.98576;0.85236;1;Beta;0.75848;0.87848;0.65726;0.96916;Gamma;0.7523;0.72556;0.69898
Theta;1;1;0.99477;0.99601;Alpha;0.89005;1;0.8397;1;Beta;0.7578;0.89148;0.67082;0.99576;Gamma;0.78331;0.75674;0.75032
Theta;0.98713;1;0.98546;0.99253;Alpha;0.86965;1;0.83599;1;Beta;0.75307;0.89386;0.66216;0.99894;Gamma;0.78274;0.76099;0.75027
Theta;1;0.98564;1;1;Alpha;0.86257;1;0.82023;0.99086;Beta;0.83561;0.90305;0.68194;1;Gamma;0.79863;0.7694;0.75074
Theta;0.76547;0.9203;0.81588;0.91363;Alpha;0.83499;1;0.83125;0.98656;Beta;0.77281;0.87029;0.73088;0.96858;Gamma;0.77462;0.69976;0.66638
Theta;0.76213;0.92211;0.82125;0.90421;Alpha;0.79021;0.98214;0.76818;0.97974;Beta;0.73487;0.86616;0.67319;0.96885;Gamma;0.76718;0.70057;0.65925
Theta;0.79332;0.94695;0.85243;0.82668;Alpha;0.77722;0.87007;0.79447;0.8722;Beta;0.74262;0.80194;0.69301;0.86694;Gamma;0.71218;0.6854;0.66013
Theta;0.85713;0.94124;0.89276;0.7929;Alpha;0.82391;0.87386;0.81775;0.78835;Beta;0.69896;0.76611;0.68627;0.79535;Gamma;0.67951;0.65268;0.61609
Theta;0.77188;0.88223;0.83118;0.79264;Alpha;0.74721;0.84246;0.77456;0.77399;Beta;0.58663;0.75038;0.65826;0.79636;Gamma;0.62703;0.6019;0.57166
Theta;0.74472;0.89917;0.83521;0.79347;Alpha;0.68938;0.82307;0.7703;0.77186;Beta;0.56948;0.7557;0.65283;0.79103;Gamma;0.62358;0.5979;0.56066
Theta;0.71267;0.87253;0.83946;0.76336;Alpha;0.70075;0.80186;0.76972;0.67587;Beta;0.56522;0.69706;0.65098;0.61504;Gamma;0.51149;0.44322;0.41358
Theta;0.70104;0.87883;0.83525;0.75551;Alpha;0.69609;0.7903;0.76877;0.68093;Beta;0.55612;0.68642;0.65252;0.61291;Gamma;0.51283;0.43519;0.39297
Theta;0.71546;0.87731;0.8486;0.75944;Alpha;0.68266;0.79106;0.77452;0.67911;Beta;0.55188;0.68398;0.65201;0.61179;Gamma;0.50585;0.43244;0.40984
Theta;0.68987;0.88294;0.8327;0.75716;Alpha;0.67182;0.77846;0.77582;0.67859;Beta;0.54571;0.68658;0.65116;0.61164;Gamma;0.50765;0.43415;0.40851
Theta;0.73253;0.84946;0.85022;0.76372;Alpha;0.73209;0.74978;0.79539;0.68892;Beta;0.60927;0.6348;0.67404;0.61788;Gamma;0.49492;0.43244;0.39904
Theta;0.72468;0.78724;0.85218;0.76452;Alpha;0.72954;0.73583;0.80341;0.68579;Beta;0.57125;0.62968;0.66032;0.61088;Gamma;0.48855;0.44408;0.39757
Theta;0.77292;0.79614;0.8609;0.76095;Alpha;0.74854;0.7407;0.79969;0.68337;Beta;0.62402;0.64068;0.67314;0.6138;Gamma;0.5036;0.42386;0.41174
Theta;0.79856;0.80838;0.88271;0.76425;Alpha;0.72228;0.73652;0.79487;0.68641;Beta;0.63247;0.64493;0.69326;0.61383;Gamma;0.51857;0.43803;0.42823
Theta;0.74765;0.79264;0.86075;0.76741;Alpha;0.69744;0.73185;0.79418;0.68843;Beta;0.6417;0.6519;0.70566;0.62172;Gamma;0.52334;0.44872;0.42925
Theta;0.80374;0.81355;0.91966;0.76158;Alpha;0.7502;0.74297;0.83042;0.68947;Beta;0.59511;0.64226;0.66722;0.61723;Gamma;0.50955;0.4444;0.40252
Theta;0.7321;0.834;0.94575;0.84152;Alpha;0.81957;0.78628;0.87532;0.75891;Beta;0.60832;0.71223;0.71722;0.77967;Gamma;0.62318;0.61861;0.54113
